IDs,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSG00000121410,14.11752026790625,-0.0792994981164139,0.2269837952782589,-0.3493619358122056,0.7268176059441345,0.8363569722378433,A1BG
ENSG00000268895,35.50975212700992,-0.08390426084206992,0.15419837129181616,-0.5441319524917901,0.5863506739904222,0.7352378122180931,A1BG-AS1
ENSG00000148584,3.0199752502061905,-0.6350191014108639,0.4220865765740524,-1.504475945587087,0.13245886242267857,0.27468928026998096,A1CF
ENSG00000175899,4126.735155970475,-0.7244639771683322,0.25097122328263544,-2.8866416144948417,0.0038937747471868124,0.01917854332731609,A2M
ENSG00000245105,793.6739860775374,-0.6531764460061029,0.25033007896284387,-2.609260735714676,0.009073807559060515,0.03730740788601419,A2M-AS1
ENSG00000166535,7.7277222216007795,0.024440266615049982,0.26742434308734186,0.0913913308448053,0.9271816499066265,0.9589623128390388,A2ML1
ENSG00000256069,658.9167867039954,-0.6698575535577119,0.2685693927462906,-2.4941693716770854,0.012625228496373849,0.04772970105716032,A2MP1
ENSG00000184389,15.919715261556306,0.7639075382695023,0.3137514625256269,2.4347537127643095,0.014901928753020708,0.05420566183346827,A3GALT2
ENSG00000094914,264.6880698812943,-0.014841306164149054,0.07061640081221689,-0.21016797788399114,0.8335365713383971,0.9045501188022982,AAAS
ENSG00000081760,249.76150168049458,0.017256885719363967,0.08380253576011037,0.20592319269148138,0.8368509085329152,0.9067108576170845,AACS
ENSG00000103591,573.2480433504919,0.05731795453442829,0.05880539176470514,0.9747057678617557,0.32970623105467356,0.512485217718684,AAGAB
ENSG00000115977,4801.847294895236,-0.3221089142264782,0.052024774879969274,-6.1914523411133,5.961236323793231e-10,1.194952748936368e-07,AAK1
ENSG00000087884,79.55242495939264,-0.06166815765776421,0.11278846543842548,-0.5467594351785082,0.5845440151817916,0.7338881146886723,AAMDC
ENSG00000127837,557.3582307587313,0.1983590374422106,0.08259124839073065,2.401695594959341,0.016319282095237243,0.058064469158900504,AAMP
ENSG00000129673,59.00341396875436,0.2403020791102555,0.1388868481736883,1.7302003916867632,0.08359447840255964,0.1967652888350015,AANAT
ENSG00000131043,396.49585235038575,0.009111915015370722,0.08359838880681213,0.10899629939552405,0.9132054255033407,0.9511361962256045,AAR2
ENSG00000090861,500.4132077517616,-0.11272930422932806,0.08615078607431202,-1.3085116151127154,0.19069983755766873,0.3562583028830231,AARS1
ENSG00000124608,365.62236879959954,-0.2407051184615177,0.09362751976485639,-2.570880004789657,0.010144046833342328,0.040574630303924435,AARS2
ENSG00000266967,34.050380751915576,-0.19760221149255267,0.14699221097523738,-1.3443039612884056,0.17885011514019378,0.34011932791639127,AARSD1
ENSG00000234969,4.131128901780901,-0.1592831150514928,0.2952835655826905,-0.5394242471204771,0.5895941540545964,0.737707497983806,AARSD1P1
ENSG00000157426,327.5241099849616,-0.05366845581117341,0.0808419912841358,-0.6638685534420422,0.5067744445715592,0.671926083804328,AASDH
ENSG00000149313,411.4324274695511,-0.015605797698902529,0.07393156176244793,-0.21108437759026463,0.8328214304638685,0.9044427251894217,AASDHPPT
ENSG00000008311,78.35948277758463,-0.7422075222026578,0.19097517662005958,-3.8864083559889115,0.00010173830954729912,0.0011158243301738501,AASS
ENSG00000215458,715.5314176764751,0.3231240876070382,0.12180787845653986,2.652735534855625,0.007984240105348232,0.033732378875692214,AATBC
ENSG00000275700,676.7020477297581,0.023535469424017866,0.06535356678398432,0.36012524766720944,0.7187534728136848,0.8314799047054209,AATF
ENSG00000181409,232.77898121895564,0.9171155806656689,0.25632381510954255,3.5779569692879702,0.00034629044377650157,0.0028784473644251044,AATK
ENSG00000281376,38.29442830854984,0.20083100401489873,0.1371947437027668,1.4638389095284894,0.14323796837454691,0.29099041620021715,ABALON
ENSG00000183044,515.5633516918504,0.2973858063309851,0.09913754102775599,2.9997294995215253,0.00270219467056786,0.014364849228953053,ABAT
ENSG00000165029,1039.2464064957862,1.4390857717077583,0.2151452437059992,6.688903491049523,2.2484894655411008e-11,9.014367228082391e-09,ABCA1
ENSG00000154263,68.8631810173212,-0.03319261811852899,0.15091161005569775,-0.2199474123049805,0.825912110632685,0.9009730279210122,ABCA10
ENSG00000251595,21.197975218100158,0.036090538062809895,0.21693296183338076,0.1663672397121922,0.8678679535657645,0.9252453054850165,ABCA11P
ENSG00000144452,7.364305926886624,0.14707155864840823,0.3670064584098617,0.4007328897851797,0.6886167930951023,0.8111352351335339,ABCA12
ENSG00000179869,488.21156318693625,1.8561336519904392,0.5928504345383454,3.1308632731893278,0.0017429328602032727,0.010227220761998893,ABCA13
ENSG00000238098,11.950317506304842,-0.049826534694605226,0.19214236918571634,-0.25932091347559627,0.7953876445602474,0.8814751479797349,ABCA17P
ENSG00000107331,2054.491873236572,-0.6045640509264,0.14591930821236956,-4.143139508628448,3.4258339883732795e-05,0.0004795205945908922,ABCA2
ENSG00000167972,183.77196709387732,-0.48093494869803377,0.11181215902943376,-4.301275933428949,1.698174354725555e-05,0.0002719897081118208,ABCA3
ENSG00000257408,2.1230361928415453,1.7165122547974623,0.5181460494800759,3.312796182697648,0.000923682661570038,0.006195687639087162,ABCA3P1
ENSG00000154265,789.8073351998468,-0.3639406890682421,0.10865369755170756,-3.349547206113673,0.0008094376148622908,0.0055974736485521785,ABCA5
ENSG00000154262,31.304986727906066,0.5834970625017316,0.18863090346095357,3.0933269776896077,0.001979259290048172,0.011231383252822085,ABCA6
ENSG00000064687,1867.8366270739944,0.06773234143900594,0.11922347883479668,0.5681124397725384,0.569958621418876,0.7231037836199848,ABCA7
ENSG00000154258,11.85999799636028,0.8554387651370392,0.23715782212335404,3.6070442774267666,0.0003097048275124101,0.002645562976978817,ABCA9
ENSG00000085563,508.97659812889214,-0.861059194429483,0.1652371013229929,-5.211052406120039,1.877723963555087e-07,8.55447705704231e-06,ABCB1
